acidic|кислый|[q'sIdIk]
bad|плохой|[bxd]
beautiful|красивый|['bju:tIf(q)l]
big|большой|[bIg]
bitter|горький|['bItq]
bouncing|оживленный, шумный|[' baunsIN]
bright|яркий|[braIt]
burnt|горелый, жженый|[bE:nt]
calm|спокойный|[kR:m]
cheap|дешевый|[tSI:p]
clean|чистый|[klI:n]
clever|умный|['klevq]
cruel|злой|[kruql]
dark|темный|[dQ:k]
deep|глубокий|[dI:p]
different|разный|['dIf(q)rqnt]
difficult|трудный|['dIfIkqlt]
dirty|грязный|['dE:tI]
dull|скучный; матовый, тусклый|[dAl]
enlightened|просвешенный, хорошо информированный|[In'laItnd]
equal|равный, одинаковый|['I:kwql]
expensive|дорогой|[Iks'pensIv]
external|внешний|[eks'tE:nl]
fat|толстый|[fxt]
generous|щедрый|['dZenqrqs]
good|хороший|[gud]
goofy|бестолковый, глупый, тупой|['gu:fi]
happy|счастливый|['hxpi]
heavy|тяжелый|['hevi]
high|высокий|[haI]
honest|честный|['PnIst]
interesting|интересный|['IntrIstIN]
internal|внутренний|[In'tE:nl]
jealous|ревнивый|['dZelqs]
jolly|веселый|['dZPlI]
kind|добрый|[kaInd]
kind natured|добродушный|[kaInd 'neItSqd]
lazy|ленивый|['leIzI]
left|левый|[left]
light|легкий, светлый|[laIt]
little|маленький|['lItl]
long|длинный|[lPN]
low|низкий|[lqu]
mendacious|лживый|[men'deISqs]
miserly|скупой|['maIzqlI]
narrow|узкий|['nxrqu]
new|новый|[nju:]
old|старый|[quld]
outsided|наружный|['aut'saIdqd]
quick|быстрый|[kwIk]
rich|богатый|[rItS]
right|правый, правильный|[raIt]
sad|печальный|[sxd]
salt|соленый|[sO:lt]
shallow|мелкий|['Sxlqu]
short|короткий|[SO:t]
slow|медленный|[slqu]
strong|сильный, упрямый|[strPN]
stupid|глупый|['stju:pId]
sweet|сладкий|[swI:t]
thin|худой|[TIn]
ugly|некрасивый|['Agli]
unhappy|несчастный|[An'hxpi]
wide|широкий|[waId]
young|молодой|[jAN]
