'cello|виолончель|'tSelqu
Algerian|алжирец, алжирский|xl'dZIqrIqn
Alpine|альпийский|'xlpaIn
Anglican|англиканский|'xNglIkqn
Angolan|ангольский|
Asian|азиат, азиатский|'eISn
Australian|австралиец|O'streIlIqn
Austrian|австрийский|
Bible|библия|'baIbl
Canadian|канадец|kq'neIdIqn
Charterhouse|Чартерхаус (дом престарелых в Лондоне)|'tSQ:tqhaus
Chilean|чилийский|'tSIlIqn
Concorde|самолет"Конкорд"|
Czech|чешский|tSek
Danish|датский|'deInIS
Dominican|доминиканский|
Dutch|голландский|
EEC|Европейское экономическое сообщество|
Egyptian|египетский|I'dZIpSqn
Englishman|англичанин|'INglISmqn
French|французский язык|frentS
Gypsy|цыган|'dZIpsI
Haitian|гаитяне|'heISjqn
Hungarian|венгерский|hAN'gFqrIqn
Indian|индиец, индийский|'IndIqn
Irishman|ирландец|'aIqrISmqn
Israeli|еврей, еврейский|
Italian|итальянец, итальянский|I'txlIqn
Jamaican|ямайский|
Japanese|японец|,dZxpq'ni:z
Jew|еврей|dZu:
Korean|корейский|kq'rIqn
Kremlin|Кремль|'kremlIn
Madame|мадам|
Majesty|величество|'mxdZIstI
Mexican|мексиканский|'meksIkqn
Midlands|центральные графства Англии|
Olympics|олимпийские игры|
Orient|Восток|'O:rIent
PM|премьер-министр|
Palestinian|палестинский|,pxlqs'tInIqn
Progressive|член Прогрессивной партии|prq'gresIv
Roman|римский|'rqumqn
Scot|шотландец|skOt
Spaniard|испанец|'spxnjqd
UN (United Nations)|Организация Объединенных наций (ООН)|
Welsh|валлийский, уэльский|welS
Yankee|янки|'jxNkI
a.m.|до полудня|
abolish|отменять|q'bOlIS
absent|отсутствующий|'xbsqnt
abstention|воздержание|qb'stenS(q)n
abuse|злоупотреблять|q'bju:s
abusive|оскорбительный|q'bju:sIv
academic|академический|,xkq'demIk
acceptable|приемлемый|qk'septqbl
acclaim|провозглашать|q'kleIm
accomplish|выполнять|q'kOmplIS
accord|согласие|q'kO:d
accordance|соответствие|q'kO:dqns
accordingly|соответственно|q'kO:dINlI
accountability|ответственность|q,kauntq'bIlItI
accountable|ответственный|q'kauntqbl
accusation|обвинение|,xkju(:)'zeIS(q)n
ace|очко|eIs
acknowledgement|достижение|qk'nOlIdZmqnt
acquisition|приобретение|,xkwI'zIS(q)n
acquit|оправдывать|q'kwIt
acre|акр|'eIkq
across|поперек|q'krOs
actively|активно, деятельно|
acute|острый, проницательный|q'kju:t
adaptation|приспособление|,xdxp'teIS(q)n
adequacy|достаточность|'xdIkwqsI
adhere|твердо держаться|qd'hIq
adjoin|примыкать|q'dZOIn
adjourn|отсрочить|q'dZq:n
adjournment|отсрочка, перерыв|q'dZq:nmqnt
adjust|улаживать|q'dZAst
adjustment|регулирование|q'dZAstmqnt
administer|управлять|qd'mInIstq
administrator|администратор|qd'mInIstreItq
admirable|замечательный|'xdmqrqbl
admiralty|адмиралтейство|'xdmqrqltI
admire|восхищаться|qd'maIq
advancement|продвижение|qd'vQ:nsmqnt
adverse|враждебный|'xdvq:s
adversely|враждебно|
advise|советовать|qd'vaIz
adviser|советник|qd'vaIzq
affected|пораженный|q'fektId
affection|привязанность, любовь|q'fekS(q)n
affidavit|письменное показание|,xfI'deIvIt
affiliated|присоединенный|
affiliation|прием в члены|q,fIlI'eIS(q)n
affirm|утверждать|q'fq:m
affray|пугать|q'freI
affront|оскорбление|q'frAnt
afraid|испуганный|q'freId
agenda|повестка дня|q'dZendq
aggravate|ухудшать|'xgrqveIt
aggregate|совокупность|'xgrIgeIt
aggression|агрессия|q'greS(q)n
aggressive|агрессивный|q'gresIv
aggressor|агрессор|q'gresq
agrarian|аграрный|q'grFqrIqn
agreeable|приятный, милый|q'grIqbl
aid|помощь, помогать|eId
ailing|больной|'eIlIN
airborne|авиационный|'FqbO:n
airliner|лайнер|
airplane|самолет|'FqpleIn
alike|подобный|q'laIk
alive|живой|q'laIv
allegedly|по утверждению|
alleviate|смягчать|q'li:vIeIt
allocate|предназначать|'xlqukeIt
alongside|бок о бок|q'lON'saId
amaze|изумлять, поражать|q'meIz
ambition|честолюбие|xm'bIS(q)n
ambitious|честолюбивый|xm'bISqs
amenity|прелесть|q'mi:nItI
amuse|развлекать|q'mju:z
anarchist|анархист|'xnqkIst
ancillary|подчиненный|xn'sIlqrI
angel|ангел|'eIndZql
annually|ежегодно|'xnjuqlI
anomaly|аномалия|q'nOmqlI
anonymous|анонимный|q'nOnImqs
antagonism|антагонизм|xn'txgqnIzm
antique|древний|xn'ti:k
anxiety|беспокойство|xN'zaIqtI
anybody|кто-нибудь, любой|'enI,bOdI
anyway|во что бы то ни стало|'enIweI
anywhere|везде, всюду|'enIwFq
apartment|квартира, комната|q'pQ:tmqnt
apiece|поштучно|q'pi:s
apologize|извиняться|q'pOlqdZaIz
appalling|ужасный, плачевный|q'pO:lIN
apparatus|аппарат|,xpq'reItqs
appreciable|заметно, ощутимо|q'pri:Sqbl
appreciate|оценивать|q'pri:SIeIt
apprentice|ученик|q'prentIs
appropriation|присвоение|q,prquprI'eIS(q)n
approximately|приблизительно|q'prOksImItlI
arch|арка, дуга|'Q:tS
archduke|эрцгерцог|
architect|архитектор|'Q:kItekt
arm|рука|Q:m
armament|вооружение|'Q:mqmqnt
articulate|отчетливо произносить|Q:'tIkjuleIt
artificial|искусственный|,Q:tI'fIS(q)l
artillery|артиллерия|Q:'tIlqrI
artistic|артистический|Q:'tIstIk
aside|в стороне|q'saId
asleep|спящий|q'sli:p
asphyxiation|асфиксия, удушье (мед.)|
aspiration|стремление|,xspq'reIS(q)n
assassination|убийство|q,sxsI'neIS(q)n
assemble|созывать|q'sembl
assertion|утверждение|q'sq:S(q)n
assess|определять размер налога|q'ses
assessment|обложение|q'sesmqnt
asset|имущество|'xset
assign|назначать|q'saIn
assignment|назначение|q'saInmqnt
assumption|предположение|q'sAmpS(q)n
asylum|убежище, приют|q'saIlqm
atmospheric|атмосферный|,xtmqs'ferIk
attain|достигать|q'teIn
attraction|притяжение|q'trxkS(q)n
attribute|приписывать|'xtrIbju:t
auditorium|зрительный зал|,O:dI'tO:rIqm
austerity|строгость|Os'terItI
authorize|санкционировать|'O:TqraIz
auto|автомобиль|'O:tqu-
automatic|автоматический|,O:tq'mxtIk
automatically|автоматически|,O:tq'mxtIk(q)lI
automation|автоматизация|,O:tq'meIS(q)n
automobile|автомобиль|'O:tqmqubi:l
autonomy|автономия|O:'tOnqmI
avert|предотвращать|q'vq:t
await|ждать|q'weIt
awkward|неуклюжий|'O:kwqd
backer|сторонник|'bxkq
backlog|невыполненные заказы|'bxklOg
backstreet|глухая улица|
bacon|бекон|'beIkqn
badge|значок, символ|bxdZ
bag|мешок, сумка|bxg
bail|поручительство|beIl
baker|пекарь, булочник|'beIkq
bakery|пекарня|'beIkqrI
balanced|уравновешенный|'bxlqnst
balcony|балкон|'bxlkqnI
ballistic|баллистический|bq'lIstIk
banish|высылать|'bxnIS
banquet|банкет|'bxNkwIt
barber|парикмахер|'bQ:bq
bare|обнаженный|bFq
barely|только, едва|'bFqlI
barley|ячмень|'bQ:lI
barn|амбар|bQ:n
baroness|баронесса|'bxrqnIs
barrack|барак, казарма|'bxrqk
barrage|заграждение|'bxrQ:Z
barricade|баррикада|,bxrI'keId
barrier|барьер|'bxrIq
barrister|адвокат|'bxrIstq
base|низкий, нижний|beIs
baseman|бейсмен|
basement|основание|'beIsmqnt
bat|летучая мышь|bxt
bath|купание|bQ:T
batsman|игрок с битой|'bxtsmqn
batter|сильно бить|'bxtq
bazaar|базар|bq'zQ:
beach|берег, пляж|bi:tS
beam|святить|bi:m
bear|медведь|bFq
beard|борода|bIqd
bearded|бородатый|'bIqdId
beat|удар, бить|bi:t
beaten|битый|'bi:tn
beating|поражение|'bi:tIN
beautifully|красиво, прекрасно|
bedside|постель|
bee|пчела|bi:
beef|говядина|bi:f
beekeeper|пчеловод|
beer|пиво|bIq
beginner|новичок|bI'gInq
behave|вести себя|bI'heIv
being|существование|'bi:IN
bell|колокол, звонок|bel
beneath|ниже, под|bI'ni:T
beneficiary|священник|,benI'fISqrI
benefit|выгода, приносить пользу|'benIfIt
berry|ягода|'berI
beset|окружать|bI'set
best-seller|бестселлер|
betray|предавать|bI'treI
betrayal|предательство|bI'treIql
bias|уклон, наклон, склонять|'baIqs
bidder|выступающий на торгах|'bIdq
bidding|понижение цены|'bIdIN
bike|велосипед|baIk
bill|объявлять в афишах|bIl
bird|птица|bq:d
birdie|птичка|'bq:dI
bit|обуздать|bIt
bite|кусать|baIt
black|черный, ужасный, злой|blxk
black-out|затемнение|
blame|порицание, порицать|bleIm
blank|пустой, чистый|blxNk
blatant|крикливый|'bleItqnt
blaze|гореть ярким пламенем|bleIz
bleak|унылый, мрачный|bli:k
blind|слепой|blaInd
blockade|блокада|blO'keId
blonde|блондин|blOnd
blood|кровь|blAd
bloody|кровавый|'blAdI
blow|дуть, удар, порыв ветра|blqu
blue|синий, голубой|blu:
blueprint|синька|'blu:prInt
blunt|притуплять|blAnt
board|столоваться|bO:d
boast|хвастовство, хвастать|bqust
bodyguard|личная охрана|'bOdIgQ:d
boil|кипятить|bOIl
bolt|молния|bqult
bombardment|бомбардировка|bOm'bQ:dmqnt
bomber|бомбардировщик|'bOmq
bombing|бомбардировка|'bOmIN
bond|обязательство|bOnd
bone|кость|bqun
book-shop|книжный магазин|
booking|продажа билетов|
boom|бум, шумиха, быстро расти|bu:m
boost|повышение, повышать|bu:st
boot|ботинок|bu:t
booth|киоск, палатка|bu:D
border|граница, край, граничить|'bO:dq
bore|сверлить|bO:
born|прирожденный|bO:n
borrow|заимствовать|'bOrqu
bother|надоедать|'bODq
bottle|бутылка|'bOtl
boulevard|бульвар|'bu:lvQ:
bounce|отскакивать|bauns
bound|несвободный|baund
boundary|граница|'baundqrI
bourgeois|буржуазный|bq:'dZOIs
bow|поклон|bau
bowl|резервуар|bqul
bowler|игрок в шары|'bqulq
boxing|бокс|'bOksIN
boycott|бойкот, бойкотировать|'bOIkqt
brain|мозг|breIn
brass|латунь|brQ:s
brave|храбрый, бравировать, храбро встречать|breIv
bravely|смело|
brawl|скандалить|brO:l
breach|брешь, пробивать брешь|bri:tS
breadth|ширина, полотнище|bredT
break-up|развал, распад|'breIk'Ap
breakfast|завтрак|'brekfqst
breed|порождать|bri:d
breeder|производитель|'bri:dq
breeding|разведение|'bri:dIN
brewery|пивоваренный завод|'bruqrI
bribery|взяточничество|'braIbqrI
brick|кирпич|brIk
bride|невеста|braId
brides-maid|подружка невесты|
bridge|мост, соединять мостом|brIdZ
briefly|кратко, сжато|'bri:flI
brigade|бригада|brI'geId
brighten|очищать|'braItn
brilliance|яркость|'brIljqns
brilliant|блестящий|'brIljqnt
broadcast|вещание, передавать по радио|'brO:dkQ:st
broadly|широко|'brO:dlI
brokerage|маклерство|'brqukqrIdZ
bronze|бронза|brOnz
brown|коричневый|braun
brutality|жестокость|bru:'txlItI
brutally|грубо, жестоко|
buccaneer|пират|,bAkq'nIq
budge|шевелиться|bAdZ
bug|устанавливать потайные микрофоны|bAg
bulk|масса, объем|bAlk
bull|бык|bul
bullet|пуля|'bulIt
bullfight|бой быков|'bulfaIt
bullock|вол|'bulqk
bum|бездельник, бродяга|bAm
bunker|бункер|'bANkq
bureaucracy|бюрократия|bjuq'rOkrqsI
burglary|ночная кража со взломом|'bq:glqrI
burial|похороны|'berIql
burst|взрыв|bq:st
bush|куст|buS
butcher|мясник|'butSq
butter|масло|'bAtq
button|пуговица|'bAtn
cabin|кабина|'kxbIn
cadet|курсант военного училища|kq'det
calling|призвание|'kO:lIN
calm|спокойный|kQ:m
cameraman|фоторепортер|
campaigner|участник кампании|kxm'peInq
camper|уголь с примесью|'kxmpq
campus|территория университета|'kxmpqs
can|банка, жестянка|kxn
cancel|аннулировать|'kxnsql
cancellation|аннулирование|,kxnsq'leISqn
cancer|рак|'kxnsq
candid|искренний|'kxndId
cane|тростник, бить палкой|keIn
canister|канистра|'kxnIstq
cannon|пушка, орудие|'kxnqn
canteen|столовая|kxn'ti:n
canvas|холст|'kxnvqs
canyon|каньон|'kxnjqn
cap|шапка|'kxp
cape|мыс|keIp
capsule|оболочка|'kxpsju:l
captain (Capt.)|капитан|
caravan|фургон|'kxrqvxn
card|карта|kQ:d
cardinal|кардинал|'kQ:dInl
careful|заботливый|'kFqful
cargo|груз|'kQ:gqu
carpenter|плотник|'kQ:pIntq
carrying|перевозка|
cartel|картель|kQ:'tel
carve|вырезать|kQ:v
cash|наличные  деньги, касса|kxS
cast|бросать|kQ:st
category|категория|'kxtIgqrI
cater|поставлять провизию|'keItq
cathedral|собор|kq'Ti:drql
cattle|крупный рогатый скот|'kxtl
caution|осторожность|'kO:Sqn
cautions|осторожный|
censorship|цензура|'sensqSIp
censure|осуждение|'senSq
central|телефонная станция|'sentrql
centralism|централизм|
centralize|централизовать|'sentrqlaIz
cereal|хлебный злак|'sIqrIql
cessation|прекращение|se'seISqn
chair|стул|tSFq
chaired|избранный председателем|
chairmanship|обязанности председателя|'tSFqmqnSIp
champagne|шампанское|Sxm'peIn
channel|канал|'tSxnl
charade|шарада|Sq'rQ:d
charitable|благотворительный, милосердный|'tSxrItqbl
charity|милосердие, благотворительность|'tSxrItI
charm|обаяние, прелесть, очаровывать|tSQ:m
chase|погоня, охота|tSeIs
cheaply|дешево, легко|'tSi:plI
check|останавливать, препятствовать|tSek
cheek|щека|tSi:k
cheer|приветствовать громкими возгласами|tSIq
cheerful|бодрый, веселый|'tSIqful
chemicals|химикалии|'kemIkqls
chemist|химик, аптекарь|'kemIst
chemistry|химия|'kemIstrI
cheque|банковский чек|tSek
chess|шахматы|tSes
chest|ящик, грудь|tSest
chestnut|каштан|'tSesnAt
chick|птенец|tSIk
chicken|птенец, цыпленок|'tSIkIn
chiefly|главным образом|'tSi:flI
chill|холод, простуда|tSIl
chine|ущелье, горная гряда|tSaIn
chip|обломок, осколок|tSIp
chocolate|шоколад|'tSOkqlIt
choice|выбор, альтернатива|tSOIs
choose|выбирать, отбирать|tSu:z
cigarette|сигарета|,sIgq'ret
cinema|кино|'sInqmq
circular|круглый, циркулярный|'sq:kjulq
circumstantial|обстоятельный, случайный|,sq:kqm'stxnSql
circus|цирк|'sq:kqs
citation|ссылка, цитирование|saI'teISqn
cite|ссылаться, цитировать|saIt
civic|гражданский|'sIvIk
civilian|гражданский, штатский|sI'vIljqn
clamp|тяжелая поступь|klxmp
clarify|прояснять|'klxrIfaI
clash|столкновение, сталкиваться|klxS
class|класс, классовый|klQ:s
classic|классический|'klxsIk
classify|классифицировать|'klxsIfaI
classroom|класс|'klQ:srum
clause|предложение, статья|klO:z
clean|чистый, чистить, очищать|kli:n
clerical|канцелярский|'klerIkql
clever|умный, ловкий|'klevq
client|клиент|'klaIqnt
climate|климат, атмосфера|'klaImIt
climb|подниматься|klaIm
clinical|клинический|'klInIkql
clip|зажимать, сжимать|klIp
clique|клика|kli:k
clock|часы|klOk
cloister|монастырь|'klOIstq
closing|заключительный|'klquzIN
cloud|облако, туча|klaud
clue|ключ к разгадке|klu:
clutch|захват|klAtS
co-operate|сотрудничать, взаимодействовать|kqu'OpqreIt
co-ordinate|координировать, согласовывать|kqu'O:dIneIt
co-pilot|второй пилот|'kqu'paIlqt
coal-field|каменноугольный бассейн|
coexistence|сосуществование|'kquIg'zIstqns
coincide|совпадать, соответствовать|,kquIn'saId
coincidence|совпадение|kqu'InsIdqns
cold|холод, простуда|kquld
collaborate|сотрудничать|kq'lxbqreIt
collaboration|сотрудничество|kq,lxbq'reISqn
collapse|крушение, крах, рушиться, потерпеть крах|kq'lxps
collar|воротник, ожерелье|'kOlq
collective|коллектив, коллективный|kO'lektIv
collector|коллекционер, сборщик|kq'lektq
collide|сталкиваться|kq'laId
colliery|каменноугольная копь|'kOljqrI
colonel (Col.)|полковник|
colony|колония, поселение|'kOlqnI
colourful|красочный|'kAlqful
combine|синдикат, объединение, объединять|'kOmbaIn
comedian|комик, комедийный актер|kq'mi:djqn
comedy|комедия|'kOmIdI
comic|комический|'kOmIk
commando|десантно-диверсионный отряд|kq'mQ:ndqu
commentator|комментатор|'kOmenteItq
commerce|торговля, коммерция|'kOmq(:)s
commercially|с коммерческой точки зрения|
commission|назначать на должность|kq'mISqn
commodity|товар, продукт|kq'mOdItI
commonly|обыкновенно, дешево, плохо|'kOmqnlI
communicate|сообщать, общаться|kq'mju:nIkeIt
commuter|коллектор, коммутатор|kq'mju:tq
companion|компаньон|kqm'pxnjqn
company (Co.)|фирма|
comparable|сравнимый|'kOmpqrqbl
comparative|сравнительный, относительный|kqm'pxrqtIv
compensate|компенсировать|'kOmpenseIt
compete|состязаться, конкурировать|kqm'pi:t
competitor|соперник, конкурент|kqm'petItq
complacency|благодушие, удовлетворенность|kqm'pleIsnAsI
complementary|дополнительный|,kOmplI'mentqrI
completion|завершение, окончание|kqm'pli:Sqn
complex|комплекс, сложный, составной|'kOmpleks
complicate|осложнять|'kOmplIkeIt
complication|сложность|,kOmplI'keISqn
complicity|соучастие|kqm'plIsItI
compliment|комплимент, похвала|'kOmplIment
complimentary|поздравительный, лестный|,kOmplI'mentqrI
comply|уступать, соглашаться|kqm'plaI
compose|сочинять, составлять|kqm'pquz
composite|составной, сложный|'kOmpqzIt
composition|сочинение, композиция|,kOmpq'zISqn
compound|составной|'kOmpaund
comprise|заключать в себе|kqm'praIz
compromise|компромисс|'kOmprqmaIz
compulsory|принудительный|kqm'pAlsqrI
computer|электронно-вычислительная машина|kqm'pju:tq
comrade|товарищ, компаньон|'kOmrId
con|направлять мысль|kOn
conceal|скрывать, утаивать|kqn'si:l
concede|уступать, допускать|kqn'si:d
conceivably|предположительно|kqn'si:vqblI
conceive|постигать, понимать|kqn'si:v
concerted|согласованный|kqn'sq:tId
concerto|концерт|kqn'tSq:tqu
concession|концессия|kqn'seSqn
conclusive|заключительный|kqn'klu:sIv
concord|согласие, соглашение|'kONkO:d
concrete|бетонировать, сгущать, конкретный|'kOnkri:t
condone|прощать, забывать|kqn'dqun
confer|сопоставлять, предоставлять|kqn'fq:
conferee|участник переговоров|,kOnfq'ri:
confess|признавать|kqn'fes
confine|ограничивать, держать в заключении|kqn'faIn
confirm|подтверждать, утверждать|kqn'fq:m
conflict|конфликт, противоречить|'kOnflIkt
confront|стоять против|kqn'frAnt
confuse|смущать, приводить в замешательство|kqn'fju:z
congratulate|поздравлять|kqn'grxtjuleIt
congregation|собрание, сходка, конгрегация|,kONgrI'geISqn
congressman|член конгресса|'kONgresmqn
conjure|показывать фокусы|'kAndZq
conquer|завоевывать, покорять|'kONkq
conscience|совесть, сознание|'kOnSqns
conscious|сознающий, сознание|-'kOnSqs
consecutive|последующий, последовательный|kqn'sekjutIv
consensus|согласие, единодушие|kqn'sensqs
consent|согласие, разрешение|kqn'sent
consequently|следовательно, в результате|'kOnsIkwqntlI
consistent|совместимый, согласующийся|kqn'sIstqnt
consistently|сообразно, согласно|
consolation|утешение|,kOnsq'leISqn
consolidation|объединение, консолидация|kqn,sOlI'deISqn
consortium|консорциум|kqn'sO:tjqm
constable|констебль, полицейский|'kAnstqbl
constabulary|полиция|kqn'stxbjulqrI
constant|постоянный|'kOnstqnt
constitute|назначать, учреждать|'kOnstItju:t
construct|строить, конструировать|kqn'strAkt
constructive|строительный, конструктивный|kqn'strAktIv
consultative|совещательный, консультативный|kqn'sAltqtIv
container|сосуд, контейнер|kqn'teInq
containment|сдерживание|
contemporary|современный|kqn'tempqrqrI
contempt|презрение, оскорбление|kqn'tempt
contend|бороться, соперничать|kqn'tend
contender|соперник, претендент|kqn'tendq
contest|спор, соревнование|'kOntest
contestant|противник, соперник|kqn'testqnt
continent|материк, континент|'kOntInqnt
continually|непрерывно|
continuation|продолжение|kqn,tInju'eISqn
contract|контракт, заключать контракт|'kOntrxkt
contractor|подрядчик, контрагент|kqn'trxktq
contradiction|противоречие, несоответствие|,kOntrq'dIkSqn
contributory|сотрудничающий, способствующий|kqn'trIbjutqrI
controller|контролер, ревизор|kqn'trqulq
convene|созывать, собирать|kqn'vi:n
convenient|удобный, подходящий|kqn'vi:njqnt
conveyor|транспортер, конвейер|
convinced|убежденный|kqn'vInst
cook|повар, кухарка, готовить пищу|kuk
cooking|стряпня|'kukIN
cookout|приготовление пищи на открытом воздухе|
cool|прохладный, охлаждать|ku:l
cooling|охлаждение|'ku:lIN
coolness|прохлада, хладнокровие|'ku:lnIs
cope|справиться, совладать|kqup
copper|медь|'kOpq
cordon|кордон, охранение|'kO:dn
core|сердцевина, ядро|kO:
corn|зерно, зерновые|kO:n
corporal|телесный|'kO:pqrql
corporation (corp.)|корпорация|
corps|корпус|kO:
correct|исправлять, поправлять|kq'rekt
correctly|правильно, верно|kq'rektlI
corresponding|соответственный, соответствующий|,kOrIs'pOndIN
corruption|разложение, коррупция|kq'rApSqn
cosmetic|косметический|kOz'metIk
cotton|хлопок, бумажная ткань|'kOtn
count|счет, подсчет, внимание|kaunt
counter|прилавок, противостоять, противиться|'kauntq-
counter-charge|встречное обвинение|
countless|бесчисленный|'kauntlIs
coupon|купон, отрывной талон|'ku:pOn
courage|мужество, храбрость|'kArIdZ
courageous|смелый, отважный|kq'reIdZqs
cousin|двоюродный брат|'kAzn
cove|сооружать|kquv
cow|корова|kau
crack|треск, трещина|krxk
craftsman|ремесленник|'krQ:ftsmqn
crash|крах, крушение|krxS
crave|жаждать, просить, умолять|kreIv
crazy|безумный|'kreIzI
cream|сливки, крем|kri:m
cricket|крикет|'krIkIt
criminal|преступник, уголовный|'krImInl
cripple|калечить, уродовать|'krIpl
crisp|хрустящий картофель|krIsp
critic|критик, критикан|'krItIk
crook|крюк, крючок, поворот|kruk
cross-examination|перекрестный допрос|'krOsIg,zxmI'neISqn
crowd|толпиться, толпа|kraud
crucial|решающий, критический|'kru:Sql
crude|сырой, необработанный|kru:d
cruel|жестокий, безжалостный|kruql
cruise|морское путешествие|kru:z
crusade|крестовый поход|kru:'seId
crush|раздавливание, дробление|krAS
crust|корка, кора|krAst
cry|кричать, плакать|kraI
crystal|кристалл, хрусталь|'krIstl
cub|детеныш|kAb
cube|куб|kju:b
cuff|удар|kAf
culminate|достигать вершины|'kAlmIneIt
curfew|комендантский час|'kq:fju:
curiosity|любознательность, любопытство|,kjuqrI'OsItI
curious|любознательный, пытливый|'kjuqrIqs
current|течение, ход|'kArqnt
curriculum|расписание|kq'rIkjulqm
curtain|занавеска, завеса|'kq:tn
custody|опека, заключение|'kAstqdI
custom|обычай, привычка|'kAstqm
cutting|резание, сокращение|'kAtIN
cycle|цикл, период|'saIkl
cynical|циничный, бесстыдный|'sInIkql
dairy|маслодельня, молочная|'dFqrI
damp|сырость, влажность|dxmp
dance|танцевать, заставлять танцевать|dQ:ns
dancer|танцор, танцовщик, танец|'dQ:nsq
dare|сметь, отважиться|dFq
dark|темный, неясный|dQ:k
data|данные, факты|'deItq
dawn|рассвет, начало|dO:n
daylight|дневной свет|'deIlaIt
deadline|запретная черта|
deadlock|тупик, безвыходное положение|'dedlOk
deadly|смертельно|'dedlI
deaf|глухой|def
dear|дорогой, милый, любимый|dIq
debris|обломки, развалины|'deIbri:
debut|дебют|'deIbu:
decay|гниение, разложение|dI'keI
decent|приличный, благопристойный|'di:snt
decisive|решительный|dI'saIsIv
deck|палуба|dek
declaration|заявление, объявление|,deklq'reISqn
decline|падение, спад|dI'klaIn
decoration|украшение, знак отличия|,dekq'reISqn
decrease|уменьшение, понижение, уменьшать|'di:kri:s
decree|декрет, постановление|dI'kri:
deer|олень|dIq
defender|защитник, чемпион|dI'fendq
defensive|оборонительный|dI'fensIv
defiant|вызывающий, дерзкий|dI'faIqnt
deficiency|недостаток, дефицит|dI'fISqnsI
definite|определенный, точный|'defInIt
definitely|определенно, точно|'defInqtlI
